"TOA5","Site5_Middletown_Plaza","CR200X","25254","CR200X.Std.04","CR200X_12_25_rev2.CR2","19761","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2019-08-10 00:00:00",695,12.20376
"2019-08-11 00:00:00",696,12.22811
"2019-08-12 00:00:00",697,12.26504
"2019-08-13 00:00:00",698,12.20712
"2019-08-14 00:00:00",699,12.13745
"2019-08-15 00:00:00",700,12.18529
"2019-08-16 00:00:00",701,12.21635
"2019-08-17 00:00:00",702,12.22811
"2019-08-18 00:00:00",703,12.15508
"2019-08-19 00:00:00",704,12.17354
"2019-08-20 00:00:00",705,12.16011
"2019-08-21 00:00:00",706,12.13997
"2019-08-22 00:00:00",707,12.12653
"2019-08-23 00:00:00",708,12.11226
"2019-08-24 00:00:00",709,12.16767
"2019-08-25 00:00:00",710,12.28855
"2019-08-26 00:00:00",711,12.29862
"2019-08-27 00:00:00",712,12.36493
"2019-08-28 00:00:00",713,12.32968
"2019-08-29 00:00:00",714,12.26252
"2019-08-30 00:00:00",715,12.23902
"2019-08-31 00:00:00",716,12.21048
"2019-09-01 00:00:00",717,12.22223
"2019-09-02 00:00:00",718,12.32296
"2019-09-03 00:00:00",719,12.24657
"2019-09-04 00:00:00",720,12.23566
"2019-09-05 00:00:00",721,12.21971
"2019-09-06 00:00:00",722,12.30701
"2019-09-07 00:00:00",723,12.30198
"2019-09-08 00:00:00",724,12.36997
"2019-09-09 00:00:00",725,12.30449
"2019-09-10 00:00:00",726,12.29526
"2019-09-11 00:00:00",727,12.10303
"2019-09-12 00:00:00",728,12.20964
"2019-09-13 00:00:00",729,12.13241
"2019-09-14 00:00:00",730,12.39767
"2019-09-15 00:00:00",731,12.30617
"2019-09-16 00:00:00",732,12.24573
"2019-09-17 00:00:00",733,12.21048
"2019-09-18 00:00:00",734,12.34815
"2019-09-19 00:00:00",735,12.39347
"2019-09-20 00:00:00",736,12.49589
"2019-09-21 00:00:00",737,12.42873
"2019-09-22 00:00:00",738,12.33807
"2019-09-23 00:00:00",739,12.30114
"2019-09-24 00:00:00",740,12.18529
"2019-09-25 00:00:00",741,12.24489
"2019-09-26 00:00:00",742,12.36745
"2019-09-27 00:00:00",743,12.27092
"2019-09-28 00:00:00",744,12.36158
"2019-09-29 00:00:00",745,12.25245
"2019-09-30 00:00:00",746,12.15339
"2019-10-01 00:00:00",747,12.34815
"2019-10-02 00:00:00",748,12.17019
"2019-10-03 00:00:00",749,12.12569
"2019-10-04 00:00:00",750,11.78404
