AST_date_time_1,AST_date_time_2,AST_AirTF,AST_RH,AST_Rainfall_Tot,AST_VWC1,AST_VWC2,AST_VWC3,AST_VWC4
NaT,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaT,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23-Jan-2018,20:30:00,48.92863,42.40845,0,0,0,0,0
23-Jan-2018,20:45:00,48.29401,42.96248,0,0,0,0,0
23-Jan-2018,21:00:00,48.31325,43.81871,0,0,0,0,0
23-Jan-2018,21:15:00,47.59072,44.50858,0,0,0,0,0
23-Jan-2018,21:30:00,47.45609,46.33855,0,0,0,0,0
23-Jan-2018,21:45:00,46.97259,46.86053,0,0,0,0,0
23-Jan-2018,22:00:00,46.88467,46.5797,0,0,0,0,0
23-Jan-2018,22:15:00,46.34346,47.35351,0,0,0,0,0
23-Jan-2018,22:30:00,46.14841,48.52567,0,0,0,0,0
23-Jan-2018,22:45:00,46.06873,47.66487,0,0,0,0,0
23-Jan-2018,23:00:00,45.86269,49.24606,0,0,0,0,0
23-Jan-2018,23:15:00,45.58797,48.57451,0,0,0,0,0
23-Jan-2018,23:30:00,45.56325,47.70913,0,0,0,0,0
23-Jan-2018,23:45:00,45.31324,47.27414,0,0,0,0,0
24-Jan-2018,00:00:00,45.40116,47.84192,0,0,0,0,0
24-Jan-2018,00:15:00,45.02753,47.29856,0,0,0,0,0
24-Jan-2018,00:30:00,45.05775,47.21309,0,0,0,0,0
24-Jan-2018,00:45:00,45.00555,48.13495,0,0,0,0,0
24-Jan-2018,01:00:00,45.47807,48.00064,0,0,0,0,0
24-Jan-2018,01:15:00,45.07972,48.78208,0,0,0,0,0
24-Jan-2018,01:30:00,45.02753,49.19112,0,0,0,0,0
24-Jan-2018,01:45:00,45.18137,50.79521,0,0,0,0,0
24-Jan-2018,02:00:00,44.69785,50.81505,0,0,0,0,0
24-Jan-2018,02:15:00,44.8517,51.05467,0,0,0,0,0
24-Jan-2018,02:30:00,44.89566,51.07757,0,0,0,0,0
24-Jan-2018,02:45:00,44.58796,51.81017,0,0,0,0,0
24-Jan-2018,03:00:00,44.62093,52.40846,0,0,0,0,0
24-Jan-2018,03:15:00,44.48906,53.48752,0,0,0,0,0
24-Jan-2018,03:30:00,44.08247,54.03849,0,0,0,0,0
24-Jan-2018,03:45:00,44.47807,53.26163,0,0,0,0,0
24-Jan-2018,04:00:00,44.11544,54.37885,0,0,0,0,0
24-Jan-2018,04:15:00,44.21434,53.56841,0,0,0,0,0
24-Jan-2018,04:30:00,44.13467,53.35474,0,0,0,0,0
24-Jan-2018,04:45:00,43.97258,54.95272,0,0,0,0,0
24-Jan-2018,05:00:00,43.64291,55.04583,0,0,0,0,0
24-Jan-2018,05:15:00,43.81873,54.96646,0,0,0,0,0
24-Jan-2018,05:30:00,43.58521,55.98141,0,0,0,0,0
24-Jan-2018,05:45:00,44.10445,55.75401,0,0,0,0,0
24-Jan-2018,06:00:00,43.58797,54.20944,0,0,0,0,0
24-Jan-2018,06:15:00,43.66489,53.86908,0,0,0,0,0
24-Jan-2018,06:30:00,43.61819,51.55376,0,0,0,0,0
24-Jan-2018,06:45:00,43.88467,48.61114,0,0,0,0,0
24-Jan-2018,07:00:00,43.79675,47.88312,0,0,0,0,0
24-Jan-2018,07:15:00,43.6072,48.63556,0,0,0,0,0
24-Jan-2018,07:30:00,43.49731,49.47195,0,0,0,0,0
24-Jan-2018,07:45:00,42.63192,49.16212,0,0,0,0,0
24-Jan-2018,08:00:00,10.43135,43.36084,0,0,0,0,0
24-Jan-2018,08:15:00,39.78576,46.92921,0,0,0,0,0
24-Jan-2018,08:30:00,38.3984,46.24392,0,0,0,0,0
24-Jan-2018,08:45:00,40.34621,47.12762,0,0,0,0,0
24-Jan-2018,09:00:00,39.37917,48.59893,0,0,0,0,0
24-Jan-2018,09:15:00,40.13741,48.90266,0,0,0,0,0
24-Jan-2018,09:30:00,40.82698,48.53636,0,0,0,0,0
24-Jan-2018,09:45:00,38.80775,47.5855,0,0,0,0,0
24-Jan-2018,10:00:00,39.81873,47.9579,0,0,0,0,0
24-Jan-2018,10:15:00,40.34621,50.68684,0,0,0,0,0
24-Jan-2018,10:30:00,42.37917,49.67952,0,0,0,0,0
24-Jan-2018,10:45:00,39.9506,49.40632,0,0,0,0,0
24-Jan-2018,11:00:00,41.02752,49.47805,0,0,0,0,0
24-Jan-2018,11:15:00,38.11543,46.99942,0,0,0,0,0
24-Jan-2018,11:30:00,40.55775,47.78086,0,0,0,0,0
24-Jan-2018,11:45:00,41.92862,48.51346,0,0,0,0,0
24-Jan-2018,12:00:00,41.65939,47.44509,0,0,0,0,0
24-Jan-2018,12:15:00,44.21434,47.73355,0,0,0,0,0
24-Jan-2018,12:30:00,58.11545,54.4048,0,0,0,0,0
24-Jan-2018,12:45:00,46.19511,46.54002,0,0,0,0,0
24-Jan-2018,13:00:00,51.96159,48.49514,0,0,0,0,0
24-Jan-2018,13:15:00,49.08247,49.29338,0,0,0,0,0
24-Jan-2018,13:30:00,67.58798,57.79461,0,0,0,0,0
24-Jan-2018,13:45:00,48.88467,47.59313,0,0,0,0,0
24-Jan-2018,14:00:00,44.30775,46.81627,0,0,0,0,0
24-Jan-2018,14:15:00,40.50005,45.0275,0,0,0,0,0
24-Jan-2018,14:30:00,40.92038,45.0214,0,0,0,0,0
24-Jan-2018,14:45:00,42.46709,45.51438,0,0,0,0,0
24-Jan-2018,15:00:00,42.21434,46.63923,0,0,0,0,0
24-Jan-2018,15:15:00,39.06049,46.18745,0,0,0,0,0
24-Jan-2018,15:30:00,41.89565,48.20821,0,0,0,0,0
24-Jan-2018,15:45:00,37.11543,45.72958,0,0,0,0,0
24-Jan-2018,16:00:00,37.08247,45.18623,0,0,0,0,0
24-Jan-2018,16:15:00,34.544,43.49514,0,0,0,0,0
24-Jan-2018,16:30:00,32.27752,42.74423,0,0,0,0,0
24-Jan-2018,16:45:00,33.51104,45.0214,0,0,0,0,0
24-Jan-2018,17:00:00,32.98357,43.98965,0,0,0,0,0
24-Jan-2018,17:15:00,32.47806,45.1145,0,0,0,0,0
24-Jan-2018,17:30:00,35.37917,45.24881,0,0,0,0,0
24-Jan-2018,17:45:00,35.18137,46.39502,0,0,0,0,0
24-Jan-2018,18:00:00,34.88467,46.08367,0,0,0,0,0
24-Jan-2018,18:15:00,34.62093,46.98263,0,0,0,0,0
24-Jan-2018,18:30:00,34.12642,45.5449,0,0,0,0,0
